((14, 15, 5, 7), (9, 13, 6, 8), (11, 4, 12, 16), (2, 3, 10, 1))
((6, 11, 7, 15), (5, 14, 4, 3), (9, 1, 10, 13), (2, 8, 16, 12))
((3, 16, 11, 13), (15, 12, 7, 6), (2, 4, 10, 9), (8, 1, 14, 5))
((1, 14, 11, 2), (12, 15, 7, 9), (8, 4, 5, 16), (3, 10, 6, 13))
((1, 16, 2, 12), (5, 6, 4, 14), (13, 7, 10, 3), (9, 8, 15, 11))
((3, 16, 15, 4), (13, 12, 9, 8), (2, 6, 11, 10), (5, 1, 7, 14))
((9, 10, 5, 13), (4, 15, 2, 1), (14, 3, 11, 8), (16, 12, 6, 7))
((7, 1, 4, 9), (10, 16, 11, 3), (14, 6, 5, 2), (13, 12, 8, 15))
((14, 4, 12, 9), (11, 1, 13, 3), (8, 10, 6, 2), (7, 16, 5, 15))
((3, 5, 16, 8), (7, 9, 10, 4), (1, 12, 14, 2), (15, 11, 13, 6))
((12, 4, 13, 14), (15, 7, 6, 10), (3, 1, 8, 16), (2, 5, 11, 9))
((6, 13, 16, 15), (11, 10, 7, 8), (1, 4, 14, 2), (12, 3, 9, 5))
((13, 15, 16, 8), (2, 7, 10, 11), (4, 12, 9, 5), (1, 14, 3, 6))
((4, 14, 8, 2), (1, 12, 5, 13), (3, 9, 7, 6), (16, 11, 10, 15))
((12, 2, 14, 9), (1, 16, 4, 7), (3, 13, 10, 5), (15, 11, 6, 8))
((1, 2, 12, 7), (3, 16, 6, 13), (15, 5, 10, 11), (9, 4, 14, 8))
((10, 8, 4, 5), (3, 1, 7, 12), (15, 16, 13, 11), (14, 2, 9, 6))
((6, 5, 4, 12), (14, 16, 3, 13), (11, 2, 8, 9), (10, 7, 15, 1))
((10, 5, 16, 15), (4, 14, 11, 6), (7, 9, 1, 2), (13, 12, 8, 3))
((9, 1, 5, 4), (3, 6, 2, 7), (14, 16, 13, 8), (12, 11, 15, 10))
